#
# This file was downloaded on 2016-06-28 from:
# http://www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial-classification/sicCode-2007-weighted-tables-with-percentages-sic03---sicCode-07.xls
#
# It was referenced on this page:
# http://www2.warwick.ac.uk/fac/soc/economics/staff/jcsmith/sicmapping/resources/proportional/
#
# Sic2003	Sic2007	Count %	Employment %	Turnover %
28.62	33.20	0%	0%	0%
28.63	25.72	100%	100%	100%
28.63	33.20	0%	0%	0%
28.71	25.91	100%	100%	100%
28.72	25.92	100%	100%	100%
28.73	25.93	100%	100%	100%
28.74	25.93	59%	44%	41%
28.74	25.94	41%	56%	59%
28.75	25.99	97%	97%	98%
28.75	32.99	0%	0%	0%
28.75	33.11	3%	2%	2%
28.75	33.20	0%	0%	0%
29.11	28.11	75%	95%	96%
29.11	33.12	22%	4%	4%
29.11	33.20	4%	0%	0%
29.12	28.12	15%	18%	16%
29.12	28.13	50%	67%	73%
29.12	33.12	22%	11%	9%
29.12	33.20	13%	4%	2%
29.13	28.12	9%	10%	12%
29.13	28.14	87%	79%	80%
29.13	33.12	4%	11%	8%
29.14	28.15	100%	100%	100%
29.21	28.21	95%	90%	95%
29.21	33.12	5%	10%	5%
29.22	28.22	66%	64%	70%
29.22	33.12	33%	29%	23%
29.22	33.20	0%	1%	1%
29.22	43.29	1%	7%	6%
29.23	28.25	87%	86%	88%
29.23	33.12	7%	7%	5%
29.23	33.20	6%	6%	6%
29.24	28.29	87%	88%	90%
29.24	32.50	0%	0%	0%
29.24	33.12	13%	10%	8%
29.24	33.20	0%	2%	2%
29.31	28.30	44%	98%	100%
29.31	33.12	56%	2%	0%
29.32	28.30	31%	68%	72%
29.32	33.12	65%	30%	26%
29.32	33.20	0%	0%	0%
29.32	95.22	4%	2%	2%
29.41	28.24	100%	100%	100%
29.42	28.41	84%	92%	95%
29.42	33.12	15%	7%	5%
29.42	33.20	1%	1%	0%
29.43	27.90	5%	7%	9%
29.43	28.29	3%	5%	7%
29.43	28.49	92%	87%	83%
29.43	33.12	0%	0%	1%
29.51	28.91	100%	100%	100%
29.52	28.92	90%	95%	96%
29.52	33.12	9%	5%	4%
29.52	33.20	1%	0%	0%
29.53	28.30	0%	1%	0%
29.53	28.93	92%	89%	88%
29.53	33.12	3%	5%	3%
29.53	33.20	5%	5%	8%
29.54	28.94	99%	99%	99%
29.54	33.12	1%	0%	0%
29.54	33.20	1%	1%	1%
29.55	28.95	91%	98%	99%
29.55	33.12	9%	2%	1%
29.56	25.73	4%	5%	3%
29.56	28.94	0%	0%	0%
29.56	28.96	72%	46%	33%
29.56	28.99	20%	41%	44%
29.56	33.12	1%	5%	3%
29.56	33.20	2%	3%	17%
29.60	25.40	95%	79%	92%
29.60	30.30	1%	1%	0%
29.60	30.40	4%	1%	0%
29.60	33.11	1%	19%	7%
29.71	27.51	100%	100%	100%
29.72	27.52	98%	99%	100%
29.72	28.21	2%	1%	0%
30.01	28.23	100%	100%	100%
30.02	26.20	85%	95%	98%
30.02	33.20	0%	1%	0%
30.02	62.09	1%	0%	0%
30.02	95.11	13%	4%	2%
31.10	26.11	7%	4%	3%
31.10	27.11	26%	73%	81%
31.10	27.90	0%	1%	1%
31.10	33.14	66%	21%	12%
31.10	33.20	0%	1%	3%
31.20	26.11	0%	2%	1%
31.20	27.12	92%	80%	81%
31.20	27.33	7%	14%	13%
31.20	27.90	0%	0%	0%
31.20	33.14	1%	1%	0%
31.20	33.20	0%	4%	4%
31.30	26.11	15%	6%	3%
31.30	27.31	9%	16%	52%
31.30	27.32	70%	78%	44%
31.30	33.20	6%	0%	0%
31.40	27.20	100%	100%	100%
31.50	27.40	100%	100%	100%
31.61	27.40	4%	28%	21%
31.61	29.31	96%	72%	79%
31.62	23.44	0%	0%	0%
31.62	25.99	0%	2%	2%
31.62	26.30	73%	54%	49%
31.62	26.51	0%	2%	2%
31.62	27.40	0%	0%	0%
31.62	27.90	25%	40%	42%
31.62	28.49	0%	1%	2%
31.62	28.99	0%	0%	0%
31.62	30.20	0%	1%	1%
31.62	33.13	0%	0%	0%
31.62	33.14	0%	0%	0%
31.62	33.20	0%	0%	0%
32.10	26.11	56%	58%	63%
32.10	26.12	38%	33%	26%
32.10	27.90	5%	6%	6%
32.10	33.13	1%	2%	5%
32.10	33.20	0%	0%	0%
32.20	26.30	47%	46%	62%
32.20	33.20	45%	38%	30%
32.20	95.12	8%	16%	9%
32.30	26.11	0%	4%	2%
32.30	26.30	9%	19%	12%
32.30	26.40	89%	76%	85%
32.30	26.70	0%	0%	0%
32.30	28.23	0%	0%	0%
32.30	33.20	0%	0%	0%
32.30	95.12	1%	1%	1%
33.10	26.60	5%	13%	22%
33.10	32.50	91%	83%	70%
33.10	32.99	0%	0%	0%
33.10	33.13	3%	2%	2%
33.10	33.14	0%	0%	0%
33.10	33.20	1%	2%	5%
33.20	26.51	96%	96%	97%
33.20	26.70	0%	0%	0%
33.20	28.29	3%	2%	1%
33.20	28.99	0%	0%	0%
33.20	33.13	0%	1%	1%
33.20	33.14	1%	0%	0%
33.20	33.20	0%	1%	1%
33.20	35.22	0%	0%	0%
33.30	26.51	93%	72%	59%
33.30	33.13	2%	1%	1%
33.30	33.20	5%	27%	41%
33.40	26.70	38%	23%	23%
33.40	27.31	5%	2%	2%
33.40	28.99	3%	2%	2%
33.40	32.50	46%	64%	60%
33.40	33.13	8%	10%	12%
33.50	26.52	86%	91%	95%
33.50	33.13	14%	9%	5%
34.10	28.92	0%	1%	1%
34.10	29.10	100%	99%	99%
34.20	29.20	99%	100%	100%
34.20	33.11	1%	0%	0%
34.30	28.11	1%	5%	3%
34.30	29.32	99%	95%	97%
35.11	30.11	73%	90%	87%
35.11	33.15	27%	10%	13%
35.12	30.12	79%	90%	93%
35.12	33.15	21%	10%	7%
35.20	30.20	14%	61%	63%
35.20	33.17	86%	39%	37%
35.30	28.99	0%	0%	0%
35.30	30.30	54%	84%	84%
35.30	33.16	46%	16%	16%
35.41	30.91	100%	100%	100%
35.42	30.92	100%	100%	100%
35.43	30.92	47%	60%	69%
35.43	33.17	53%	40%	31%
35.50	28.22	12%	9%	6%
35.50	30.99	77%	61%	67%
35.50	33.11	11%	30%	27%
36.11	29.32	10%	20%	35%
36.11	30.30	3%	16%	19%
36.11	31.01	8%	6%	7%
36.11	31.02	0%	0%	0%
36.11	31.09	76%	56%	39%
36.11	95.24	3%	1%	0%
36.12	31.01	100%	100%	100%
36.12	95.24	0%	0%	0%
36.13	31.02	100%	100%	100%
36.13	95.24	0%	0%	0%
36.14	31.09	90%	94%	95%
36.14	95.24	10%	6%	5%
36.15	31.03	100%	100%	100%
36.21	32.11	100%	100%	100%
36.22	32.12	100%	100%	100%
36.30	32.20	99%	100%	100%
36.30	33.19	0%	0%	0%
36.30	95.29	0%	0%	0%
36.40	32.30	100%	100%	100%
36.40	32.99	0%	0%	0%
36.50	26.40	1%	1%	0%
36.50	32.40	99%	99%	98%
36.50	33.19	0%	0%	1%
36.61	32.13	100%	100%	100%
36.62	32.91	100%	100%	100%
36.63	13.99	0%	1%	1%
36.63	16.29	0%	0%	0%
36.63	17.29	4%	4%	4%
36.63	20.51	0%	0%	0%
36.63	22.19	0%	0%	0%
36.63	22.23	0%	3%	6%
36.63	22.29	0%	0%	0%
36.63	25.99	0%	0%	0%
36.63	28.99	2%	2%	2%
36.63	32.99	93%	89%	87%
37.10	38.31	2%	0%	0%
37.10	38.32	98%	100%	100%
37.20	38.32	100%	100%	100%
40.11	35.11	100%	100%	100%
40.12	35.12	100%	100%	100%
40.13	35.13	69%	100%	100%
40.13	35.14	31%	0%	0%
40.21	35.21	100%	100%	100%
40.22	35.22	85%	100%	100%
40.22	35.23	15%	0%	0%
40.30	35.30	100%	100%	100%
41.00	36.00	100%	100%	100%
45.11	43.11	20%	25%	30%
45.11	43.12	80%	75%	70%
45.12	43.13	100%	100%	100%
45.21	41.20	70%	61%	65%
45.21	42.12	0%	0%	0%
45.21	42.13	0%	0%	0%
45.21	42.21	0%	0%	0%
45.21	42.22	0%	2%	1%
45.21	42.99	30%	37%	33%
45.21	43.99	0%	0%	0%
45.22	43.91	87%	88%	90%
45.22	43.99	13%	12%	10%
45.23	41.20	2%	1%	1%
45.23	42.11	86%	73%	65%
45.23	42.12	8%	21%	29%
45.23	42.99	4%	5%	5%
45.24	42.21	6%	5%	4%
45.24	42.91	93%	95%	96%
45.24	43.99	1%	0%	0%
45.25	39.00	0%	0%	0%
45.25	42.21	0%	0%	0%
45.25	43.99	100%	100%	100%
45.31	43.21	98%	98%	97%
45.31	43.22	0%	0%	0%
45.31	43.29	2%	2%	2%
45.31	80.20	0%	0%	0%
45.32	43.29	100%	100%	100%
45.33	43.22	100%	100%	100%
45.34	43.21	81%	83%	84%
45.34	43.29	19%	17%	16%
45.41	43.31	100%	100%	100%
45.42	43.32	100%	100%	100%
45.43	43.33	100%	100%	100%
45.44	43.34	100%	100%	100%
45.45	43.39	100%	100%	100%
45.45	43.99	0%	0%	0%
45.50	43.99	100%	100%	100%
50.10	45.11	96%	95%	96%
50.10	45.19	4%	5%	4%
50.20	45.20	99%	98%	98%
50.20	52.21	1%	2%	2%
50.30	45.31	67%	72%	78%
50.30	45.32	33%	28%	22%
50.40	45.40	100%	100%	100%
50.50	47.30	100%	100%	100%
51.11	46.11	100%	100%	100%
51.12	46.12	95%	98%	100%
51.12	46.18	5%	2%	0%
51.13	46.13	100%	100%	100%
51.14	46.14	100%	100%	100%
51.15	46.15	100%	100%	100%
51.16	46.16	100%	100%	100%
51.17	46.17	100%	100%	100%
51.18	46.18	100%	100%	100%
51.19	46.19	100%	100%	100%
51.21	46.21	100%	100%	100%
51.22	46.22	100%	100%	100%
51.23	46.23	100%	100%	100%
51.24	46.24	100%	100%	100%
51.25	46.21	100%	100%	100%
51.31	10.39	0%	0%	0%
51.31	46.31	100%	100%	100%
51.32	46.32	100%	100%	100%
51.33	46.33	100%	100%	100%
51.34	11.01	0%	0%	0%
51.34	46.34	100%	100%	100%
51.35	46.35	100%	100%	100%
51.36	46.36	100%	100%	100%
51.37	46.37	100%	100%	100%
51.38	46.31	0%	0%	0%
51.38	46.38	100%	100%	100%
51.39	46.39	100%	100%	100%
51.41	46.41	100%	100%	100%
51.42	46.42	100%	100%	100%
51.43	46.43	89%	85%	84%
51.43	46.47	11%	15%	16%
51.43	46.52	0%	0%	0%
51.44	46.44	74%	58%	54%
51.44	46.49	1%	1%	2%
51.44	46.73	26%	41%	44%
51.45	46.45	100%	100%	100%
51.46	46.46	100%	100%	100%
51.47	46.43	2%	2%	3%
51.47	46.47	23%	15%	11%
51.47	46.48	15%	7%	7%
51.47	46.49	58%	72%	75%
51.47	46.73	2%	4%	4%
51.51	46.71	100%	100%	100%
51.52	46.72	100%	100%	100%
51.53	46.73	100%	100%	100%
51.54	46.74	100%	100%	100%
51.55	46.75	99%	99%	100%
51.55	46.76	1%	1%	0%
51.56	46.76	100%	100%	100%
51.57	46.77	100%	100%	100%
51.81	46.62	100%	100%	100%
51.82	46.63	100%	100%	100%
51.83	46.64	100%	100%	100%
51.84	46.51	100%	100%	100%
51.85	46.65	17%	11%	18%
51.85	46.66	83%	89%	82%
51.86	46.52	100%	100%	100%
51.87	46.69	100%	100%	100%
51.88	46.61	100%	100%	100%
51.90	46.90	100%	100%	100%
52.11	47.11	100%	100%	100%
52.12	47.19	100%	100%	100%
52.21	47.21	100%	100%	100%
52.22	47.22	100%	100%	100%
52.23	47.23	100%	100%	100%
52.24	47.24	100%	100%	100%
52.25	47.25	100%	100%	100%
52.26	47.26	100%	100%	100%
52.27	47.21	0%	0%	0%
52.27	47.29	100%	100%	100%
52.31	47.73	100%	100%	100%
52.32	47.74	100%	100%	100%
52.33	47.75	100%	100%	100%
52.41	47.51	100%	100%	100%
52.42	47.71	100%	100%	100%
52.43	47.72	100%	100%	100%
52.44	47.53	3%	1%	1%
52.44	47.59	97%	99%	99%
52.45	47.43	16%	7%	6%
52.45	47.54	69%	78%	79%
52.45	47.59	6%	4%	3%
52.45	47.63	9%	11%	12%
52.46	47.52	100%	100%	100%
52.47	47.61	18%	23%	28%
52.47	47.62	82%	77%	72%
52.48	47.41	5%	4%	8%
52.48	47.42	2%	6%	10%
52.48	47.53	8%	5%	7%
52.48	47.59	0%	0%	0%
52.48	47.64	9%	18%	16%
52.48	47.65	1%	3%	3%
52.48	47.76	12%	15%	10%
52.48	47.77	9%	11%	12%
52.48	47.78	55%	38%	34%
52.50	47.79	100%	100%	100%
52.61	47.91	100%	100%	100%
52.62	47.81	60%	63%	65%
52.62	47.82	7%	7%	5%
52.62	47.89	33%	31%	30%
52.63	47.79	0%	4%	9%
52.63	47.91	0%	0%	0%
52.63	47.99	100%	95%	91%
52.71	95.23	100%	100%	100%
52.72	95.21	60%	55%	45%
52.72	95.22	40%	45%	55%
52.73	95.25	100%	100%	100%
52.74	95.12	2%	8%	11%
52.74	95.22	0%	0%	0%
52.74	95.29	8%	8%	8%
52.74	96.09	90%	84%	81%
55.10	55.10	100%	100%	100%
55.21	55.20	100%	100%	100%
55.22	55.30	100%	100%	100%
55.23	55.20	89%	90%	90%
55.23	55.90	11%	10%	10%
55.30	56.10	100%	100%	100%
55.40	56.30	100%	100%	100%
55.51	56.29	100%	100%	100%
55.52	56.21	95%	96%	93%
55.52	56.29	5%	4%	7%
60.10	49.10	91%	89%	88%
60.10	49.20	9%	11%	12%
60.21	49.31	93%	95%	94%
60.21	49.39	7%	5%	6%
60.22	49.32	100%	100%	100%
60.23	49.39	100%	100%	100%
60.24	49.41	95%	95%	97%
60.24	49.42	5%	5%	3%
60.30	49.50	100%	100%	100%
61.10	50.10	47%	55%	42%
61.10	50.20	52%	43%	58%
61.10	52.22	0%	2%	1%
61.20	50.30	69%	73%	61%
61.20	50.40	31%	27%	39%
62.10	51.10	85%	99%	99%
62.10	51.21	15%	1%	1%
62.20	51.10	67%	81%	76%
62.20	51.21	33%	19%	24%
62.30	51.22	100%	100%	100%
63.11	52.24	100%	100%	100%
63.12	52.10	100%	100%	100%
63.21	52.21	100%	100%	100%
63.22	52.22	100%	100%	100%
63.23	52.23	100%	100%	100%
63.23	85.32	0%	0%	0%
63.30	79.11	62%	69%	61%
63.30	79.12	26%	25%	36%
63.30	79.90	11%	6%	3%
63.40	52.29	100%	100%	99%
63.40	74.90	0%	0%	1%
64.11	53.10	100%	100%	100%
64.12	53.20	100%	100%	100%
64.20	60.10	0%	0%	0%
64.20	60.20	0%	0%	0%
64.20	61.10	8%	3%	2%
64.20	61.20	7%	7%	11%
64.20	61.30	2%	1%	2%
64.20	61.90	83%	89%	86%
65.11	64.11	100%	100%	100%
65.12	64.19	100%	100%	100%
65.21	64.91	100%	100%	100%
65.22	64.92	94%	92%	97%
65.22	64.99	6%	8%	3%
65.23	64.20	8%	0%	0%
65.23	64.30	19%	20%	18%
65.23	64.99	73%	79%	82%
66.01	65.11	99%	99%	100%
66.01	65.20	1%	1%	0%
66.02	65.30	100%	100%	100%
66.03	65.12	99%	100%	99%
66.03	65.20	1%	0%	1%
67.11	66.11	100%	100%	100%
67.12	66.12	82%	55%	63%
67.12	66.30	18%	45%	37%
67.13	66.12	2%	7%	7%
67.13	66.19	98%	93%	93%
67.20	66.21	9%	7%	1%
67.20	66.22	56%	61%	51%
67.20	66.29	35%	32%	48%
70.11	41.10	100%	100%	100%
70.12	68.10	100%	100%	100%
70.20	68.20	100%	100%	100%
70.31	68.31	100%	100%	100%
70.32	68.32	90%	42%	68%
70.32	81.10	10%	58%	32%
71.10	77.11	100%	100%	100%
71.21	77.12	70%	66%	55%
71.21	77.39	30%	34%	45%
71.22	77.34	100%	100%	100%
